model,label_frac,seed,n,threshold,accuracy,f1,precision,sensitivity,brier,ece,tn,fp,fn,tp,specificity,auroc,auprc,patient_n,patient_threshold,patient_accuracy,patient_f1,patient_precision,patient_sensitivity,patient_brier,patient_ece,patient_tn,patient_fp,patient_fn,patient_tp,patient_specificity,patient_auroc,patient_auprc
resnet50,0.1,2,1600,0.5,0.674375,0.48971596474045054,0.5241090146750524,0.45955882352941174,0.24327955478795885,0.1590234332717955,829,227,294,250,0.7850378787878788,0.7052748301024956,0.48378800293139645,32,0.5,0.5625,0.36363636363636365,0.3076923076923077,0.4444444444444444,0.24978277669053117,0.2239996024531989,14,9,5,4,0.6086956521739131,0.642512077294686,0.38819456047526224
resnet50,0.1,1,1600,0.5,0.820625,0.7172413793103448,0.772823779193206,0.6691176470588235,0.16161397160067953,0.18862280936911704,949,107,180,364,0.8986742424242424,0.9052612522281641,0.8199769214058593,32,0.5,0.78125,0.631578947368421,0.6,0.6666666666666666,0.17580657220474294,0.18709662735803242,19,4,3,6,0.8260869565217391,0.8743961352657006,0.7495929995929996
resnet50,0.1,0,1600,0.5,0.655625,0.11556982343499198,0.45569620253164556,0.0661764705882353,0.2590451731079811,0.251893027966089,1013,43,508,36,0.959280303030303,0.7921314477495544,0.55868861737842,32,0.5,0.6875,0.0,0.0,0.0,0.23262858703018802,0.21412371433276656,22,1,9,0,0.9565217391304348,0.7198067632850241,0.47396971220500633
resnet50,1.0,2,1600,0.5,0.79,0.654320987654321,0.7429906542056075,0.5845588235294118,0.14216131655951356,0.09534101005458068,946,110,226,318,0.8958333333333334,0.8905292585784312,0.7269408861249438,32,0.5,0.84375,0.7058823529411765,0.75,0.6666666666666666,0.1355748179965322,0.15525960655229665,21,2,3,6,0.9130434782608695,0.8695652173913043,0.6628639334521687
resnet50,1.0,1,1600,0.5,0.77625,0.6223628691983122,0.7301980198019802,0.5422794117647058,0.15964887305326236,0.11139207983191457,947,109,249,295,0.896780303030303,0.8683538045900179,0.769480298233281,32,0.5,0.8125,0.625,0.7142857142857143,0.5555555555555556,0.13246635767177595,0.16602293243535632,21,2,4,5,0.9130434782608695,0.888888888888889,0.6602471602471602
resnet50,1.0,0,1600,0.5,0.748125,0.47865459249676584,0.8078602620087336,0.3400735294117647,0.1492833973157738,0.11133346896767762,1012,44,359,185,0.9583333333333334,0.8765510110294119,0.7742746609849109,32,0.5,0.71875,0.3076923076923077,0.5,0.2222222222222222,0.14304337741956152,0.16402452814070909,21,2,7,2,0.9130434782608695,0.8599033816425121,0.651521164021164
resnet50,0.05,2,1600,0.5,0.563125,0.19747416762342135,0.26299694189602446,0.15808823529411764,0.24960302900538772,0.16363201526924967,815,241,458,86,0.771780303030303,0.39343457553475936,0.2904128409598903,32,0.5,0.53125,0.11764705882352941,0.125,0.1111111111111111,0.24995818209858522,0.21250637657916482,16,7,8,1,0.6956521739130435,0.3333333333333333,0.24604928995575323
resnet50,0.05,1,1600,0.5,0.74875,0.5794979079497908,0.6723300970873787,0.5091911764705882,0.1649132617813301,0.09252422587698675,921,135,267,277,0.8721590909090909,0.8434958500445633,0.6393651148594377,32,0.5,0.6875,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.15383859454639648,0.16607221916592416,18,5,5,4,0.782608695652174,0.8309178743961354,0.7235717498875394
resnet50,0.05,0,1600,0.5,0.658125,0.2735723771580345,0.49282296650717705,0.18933823529411764,0.24507227191373598,0.20587940008070288,950,106,441,103,0.8996212121212122,0.7342096284536542,0.5000998754008827,32,0.5,0.65625,0.0,0.0,0.0,0.23305702501434894,0.2728710039218246,21,2,9,0,0.9130434782608695,0.6183574879227054,0.36417104280881374
resnet50,0.5,2,1600,0.5,0.76625,0.5661252900232019,0.7672955974842768,0.4485294117647059,0.17055770637863318,0.11972944335587273,982,74,300,244,0.9299242424242424,0.8577108400178253,0.7516104650048798,32,0.5,0.71875,0.3076923076923077,0.5,0.2222222222222222,0.15190103266106703,0.1673518226284476,21,2,7,2,0.9130434782608695,0.8502415458937198,0.6632173382173382
resnet50,0.5,1,1600,0.5,0.76875,0.6567717996289425,0.6629213483146067,0.6507352941176471,0.16149824399494608,0.12499068272411024,876,180,190,354,0.8295454545454546,0.8680056539661319,0.7101109627173521,32,0.5,0.75,0.6,0.5454545454545454,0.6666666666666666,0.1424805568800862,0.22568015117718251,18,5,3,6,0.782608695652174,0.8599033816425121,0.6338522588522588
resnet50,0.5,0,1600,0.5,0.77125,0.5307692307692308,0.8771186440677966,0.3805147058823529,0.14108830117194526,0.11365114055166486,1027,29,337,207,0.9725378787878788,0.9041245404411764,0.8029360965201566,32,0.5,0.8125,0.5714285714285714,0.8,0.4444444444444444,0.13230244875793168,0.17181818566771476,22,1,5,4,0.9565217391304348,0.8985507246376812,0.7731922398589065
